tmdbID,title,year,watchedDate
6498,NightWatch,1994,
916405,The quiet girl,2022,
39940,Picnic,1955,
22829,Paris When It Sizzles,,
85926,Strangers When We Meet,1960,
2006,"Bell, Book and Candle",1958,
28,Apocalypse Now,,
164,Desayuno con diamantes,1961,
660120,The Worst Person in the World,,
15764,La decisión de Sofía,,
882569,The covenant,2023,
36419,Más allá de la vida,,
1278,The Dreamers,2003,
258,Bed and board,,
10362,Two Lovers,2008,
482252,los amantes,,
130150,Aires de esperanza,,
1440,Little Children,,
37563,summer tale,,
632617,C’mon C’mon,,
27145,La Femme de l'aviateur,,
1245,The Remains of the Day,,
1443,Las vírgenes suicidas,,
12165,The Burning Plain,,
949,HEAT,,
709372,TRES,2011,
890980,Los renglones torcidos de Dios,,
4148,Revolutionary Road,,
1049759,Guerra y paz,,
949423,Pearl,2022,
42188,Never Let Me Go,,
508,Realmente Amor,,
6639,El amor en los tiempos del cólera,,
1236835,La dama de hierro,,
284,The Apartment,,
334541,Manchester by the Sea,,
466614,el ultimo traje,,
133919,Scenes from a Marriage,,
843,In the mood of love,,
10740,birth,2004,
17609,Antichrist,,
660120,The Worst Person In The World,,
627725,the banker,2020,
339397,cafe society,,
509202,8 1/2,,
439,La dolce Vita,,
375262,the favourite,,
47333,Jane Eyre,1996,
226857,Endless Love,,
25009,Mogambo,,
22985,el merodeador,1951,
4347,Atonement,,
52744,falling in love,1984,
615777,Babylon,2022,
17460,La faute a fidel,,
627,TRAINSPOTTING,,
8976,A lot like love,,
47525,The Magic of Ordinary,,
858,Sleepless in Seattle,,
406,La Haine,,
160588,blue jasmine,,
303,encadenados,1946,
7859,Half Nelson,,
9890,Las mujeres perfectas,,
12573,a serious man,,
791177,bones and all,,
45958,Biutiful,,
4148,Revolutionary road,,
2528,Madame Bovary,,
283591,The Secret Scripture,,
665411,En el nombre del hijo,,
17961,l'enfer,1994,
606566,Gli anni più belli,,
12308,L'ultimo bacio,,
38970,Ricordati di me,,
504588,MEKTOUB MY LOVE,,
339324,NATALIA,1988,
595975,LA BELLE ÉPOQUE,,
102461,La Fille seule,,
269148,Samba,2014,
11012,Damage,1992,
793998,L'événement,,
976893,Perfect Days,,
621749,Nimic,,
666277,Past Lives,,
524,Casino,,
10922,The Human Stain,,
12647,Billy Bathgate,,
947207,boardwalk Empire,,
8741,La delgada línea roja,,
403300,A hidden Life,,
542824,Luchino Visconti,,
396,Quien le teme a virginia woolf,,
11706,Guerra y paz,1956,
653744,Sergio,2020,
80591,El romance del siglo,,
470,21 gramos,,
2788,reality bites,,
676056,Los falsificadores,,
336029,Una historia de amor y oscuridad,,
901563,Close,2022,
9281,testigo en peligro,,
76025,Sin reservas,,
10171,the voyager,1991,
399404,las horas más oscuras,,
50456,Hanna,2011,
68,Brazil,1985,
314365,Spotlight,,
198277,begin again,,
353326,el hombre que conocía el infinito,,
242582,nightcrawler,,
10142,Pecados de guerra,,
9040,serpico,,
37247,el graduado,,
17443,and justice for all,,
380,rain man,,
12150,sea of love,,
9504,Glengarry Glen Ross,,
817758,Tar,,
4960,synecdoche new york,,
1016084,blackberry,,
116,match point,,
10590,cuando éramos soldados,,
752613,Ghandi,,
4147,camino a la perdición,,
63311,la piel que hábito,,
28,apocalipsis ahora,,
340666,animales nocturnos,,
153,lost in translation,,
148,The secret life of words,,
473,Pi fe en el caos,,
117,The untouchables,,
401246,The square,,
497828,Triangle of sadness,,
4946,La piscina,1969,
132288,Demolición,,
870311,to big to fall,,
1113085,after sun,,
9504,Glengarry Glen Ross,,
769486,Ridley Scott,,
807196,Boiling point,,
87516,oldboy,,
705996,Decision to leave,,
10019,me enamore de un maniquí,,
14337,Primer,,
10538,Passenger 57,,
9777,proof,,
31011,Mr nobody,,
458113,The gentleman,,
157353,Transcendence,,
336000,el castillo de cristal,,
83542,El atlas de las nubes,,
29917,Exam,,
8461,Funny Game,2007,
347031,Un cadáver para sobrevivir,,
220289,Coherence,,
438396,Orígenes,,
121606,Resolution,2012,
68727,Trance,,
8066,Stay,2005,
10851,Revolver,,
403838,La aldea,,
206487,Predestination,,
641,Requiem Dream,,
7837,The Time shifter,,
703145,La isla de las mentiras,,
253307,The infinite Man,2014,
264397,El incidente,2014,
26466,Triangle,2009,
1090,Piso 13,1999,
169219,Devils pass,2013,
430231,The endless,,
24634,Historia de fantasmas,,
397837,Si no despierto,,
879951,El doble,,
492,Being John malkovich,,
9667,The jacket,,
7551,Deja vu,,
292011,Richard jewell,,
59967,Looper,,
14139,Cronocrimenes,,
782,gattaca,,
13653,El aura,,
1018,Mulholland dr,,
254320,The lobster,,
289,Casablanca,,
380,Rain Man,,
320,Insomnia,,
78,Blade runner,,
841485,El libro negro,,
2757,Ladrón de orquídeas,,
9664,Flyboys,,
7299,Equilibrium,,
159734,Suits,,
334,Magnolia,,
2355,reign over me,,
68722,The master,,
968,dog day afternoon,,
146233,Prisoners,,
396398,The meyerowitz,,
586,Wag the dog,,
429200,good time,,
538921,Anomalía,,
10220,Apuesta final,,
8909,Wanted,,
320,Insomnia,,
10110,El imperio del sol,,
68722,The Master: todo hombre necesita un guía,,
1429,La hora 25,,
16270,Career opportunities,,
481157,Au bout des doigts,,
181886,Enemy,,
283020,Argentina,1985,
72570,Votos de amor,,
12227,Colmillo blanco,,
133878,La Playa,,
2100,the last castle,,
701215,Tarantino,,
199109,The Boiler room,,
67884,Un Cuento Chino,,
554230,The Lost Daughter,,
